ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Shevchenko A.,18,91,2185,692,6,1,6,1,6,2,,,,,3,0,Completed,1.14,5.5,1.19,5.41,1.2,5.5,1.16,5.23,1.19,6
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Rinderknech A.,Carballes Baena R.,82,87,782,740,7,6,7,5,4,6,6,2,,,3,1,Completed,1.5,2.63,1.5,2.77,1.52,2.75,1.48,2.63,1.52,2.88
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Mensik J.,Jarry N.,16,102,2430,628,7,6,6,3,6,4,,,,,3,0,Completed,1.36,3.2,1.41,3.11,1.4,3.2,1.38,2.99,1.44,3.2
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Buse I.,6,135,4280,473,6,3,6,2,6,4,,,,,3,0,Completed,1.03,17,,,1.04,17,1.02,14.3,1.04,21
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Nava E.,4,968,5575,21,7,5,6,2,6,3,,,,,3,0,Completed,1.08,8,1.11,7.89,1.1,8.5,1.08,7.5,1.11,9.6
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Blanchet U.,Marozsan F.,184,53,295,975,6,4,3,6,7,6,6,2,,,3,1,Completed,4,1.25,3.96,1.29,4,1.32,3.74,1.26,3.95,1.33
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Spizzirri E.,Dostanic S.,127,389,493,127,7,5,6,4,7,6,,,,,3,0,Completed,1.44,2.75,1.5,2.75,1.5,2.75,1.46,2.68,1.53,2.82
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Darderi L.,Hijikata R.,34,103,1379,623,6,2,6,1,6,2,,,,,3,0,Completed,1.57,2.38,1.65,2.38,1.63,2.4,1.58,2.34,1.63,2.54
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Coric B.,21,105,2115,595,3,6,6,4,7,6,6,1,,,3,1,Completed,1.13,6,1.16,5.97,1.15,6.5,1.13,5.76,1.17,6.4
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Griekspoor T.,77,30,811,1655,7,5,6,4,6,0,,,,,3,0,Completed,2.3,1.62,2.37,1.65,2.3,1.67,2.25,1.63,2.36,1.72
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Nardi L.,22,86,2110,755,6,3,6,1,6,1,,,,,3,0,Completed,1.4,3,1.44,2.98,1.5,3.1,1.41,2.89,1.42,3.3
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Svajda Z.,Piros Z.,145,156,421,362,6,4,6,2,7,5,,,,,3,0,Completed,1.4,3,1.42,3.06,1.45,3.1,1.4,2.94,1.47,3.05
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Kym J.,Quinn E.,175,84,309,771,6,3,6,2,3,6,7,6,,,3,1,Completed,2.2,1.67,2.27,1.7,2.4,3.2,2.02,1.85,2.18,1.82
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Llamas Ruiz P.,137,361,468,136,7,6,6,4,6,2,,,,,3,0,Completed,1.53,2.5,1.54,2.62,1.57,2.5,1.53,2.45,1.59,2.66
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Etcheverry T.,Ugo Carabelli C.,59,43,940,1123,6,3,6,2,6,0,,,,,3,0,Completed,1.3,3.5,1.38,3.25,1.35,3.5,1.32,3.28,1.38,3.55
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Moutet C.,58,40,945,1146,6,2,6,4,1,6,6,3,,,3,1,Completed,3.4,1.33,3.43,1.35,3.5,1.4,3.26,1.33,3.45,1.4
46,New York,US Open,24/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Giron M.,Navone M.,55,78,960,810,6,0,7,5,4,6,5,7,6,4,3,2,Completed,2,1.8,2.05,1.85,2.1,1.95,2.01,1.78,2.08,1.89
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Nakashima B.,De Jong J.,31,83,1570,774,6,2,6,7,2,6,6,2,7,6,3,2,Completed,1.25,4,1.3,3.85,1.32,4,1.29,3.6,1.32,3.95
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Tien L.,7,50,4130,1000,6,1,7,6,6,2,,,,,3,0,Completed,1.14,5.5,1.15,6.2,1.18,7,1.14,5.67,1.18,6.2
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Bonzi B.,Medvedev D.,51,13,999,2760,6,3,7,5,6,7,0,6,6,4,3,2,Completed,4.5,1.2,4.57,1.23,4.6,1.22,4.41,1.2,4.7,1.26
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Harris L.,Baez S.,353,39,139,1175,6,3,7,5,6,4,,,,,3,0,Completed,1.53,2.5,1.55,2.62,1.56,2.6,1.51,2.5,1.55,2.78
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Damm M.,Blanch Dar.,431,364,106,136,6,3,6,4,6,4,,,,,3,0,Completed,2,1.8,2.08,1.83,2.04,1.85,2,1.78,2.1,1.88
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Wong C.,Kovacevic A.,173,71,315,862,6,4,7,5,7,6,,,,,3,0,Completed,2.1,1.73,2.28,1.69,2.25,1.77,2.08,1.72,2.2,1.82
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Walton A.,Humbert U.,85,23,763,2085,6,4,7,6,5,7,6,1,,,3,1,Completed,2.75,1.44,3.04,1.43,3,1.47,2.74,1.43,2.88,1.53
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Bergs Z.,Tseng C.H.,48,118,1039,529,6,3,6,4,6,3,,,,,3,0,Completed,1.36,3.2,1.42,3.06,1.4,3.2,1.38,3.02,1.38,3.55
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Korda S.,35,75,1297,835,7,5,6,4,,,,,,,2,0,Completed,2.38,1.57,2.68,1.52,2.6,1.6,2.43,1.53,2.62,1.61
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Fonseca J.,Kecmanovic M.,45,42,1095,1126,7,6,7,6,6,3,,,,,3,0,Completed,1.57,2.38,1.69,2.28,1.57,2.6,1.53,2.47,1.57,2.7
46,New York,US Open,25/08/2025,Grand Slam,Outdoor,Hard,1st Round,5,Draper J.,Gomez F.A.,5,203,4440,268,6,4,7,5,6,7,6,2,,,3,1,Completed,1.02,19,,,1.03,20,1.02,15.13,1.04,21
