ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Tarvet O.,Riedi L.,733,503,36,77,6,4,6,4,6,4,,,,,3,0,Completed,2.1,1.75,2.12,1.79,2.18,1.84,2.06,1.75
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Lehecka J.,Dellien H.,25,79,1965,751,4,6,6,2,6,2,7,6,,,3,1,Completed,1.02,15,,,1.02,55,1.01,22.38
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Thompson J.,Kopriva V.,44,78,1200,757,3,6,4,6,6,3,7,6,6,1,3,2,Completed,1.4,3,1.43,3.03,1.43,3.35,1.38,3.02
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Mannarino A.,O Connell C.,123,77,477,775,6,2,6,4,6,3,,,,,3,0,Completed,1.36,2.9,1.43,3.03,1.45,3.15,1.4,2.93
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Bellucci M.,Crawford O.,73,248,864,229,6,7,6,3,6,4,6,4,,,3,1,Completed,1.3,3.6,1.3,3.81,1.34,3.85,1.3,3.54
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Bonzi B.,Medvedev D.,64,9,930,3420,7,6,3,6,7,6,6,2,,,3,1,Completed,8.5,1.07,9.03,1.09,12.5,1.09,8.56,1.07
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Tien L.,Basavareddy N.,62,100,940,595,7,6,6,3,6,2,,,,,3,0,Completed,1.5,2.6,1.54,2.63,1.54,2.8,1.46,2.68
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Tiafoe F.,Moller E.,12,117,2990,499,6,3,6,4,6,2,,,,,3,0,Completed,1.04,9,1.06,12.44,1.07,13.5,1.05,10.57
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Norrie C.,Bautista Agut R.,61,42,952,1236,6,3,3,6,6,4,7,6,,,3,1,Completed,1.83,1.91,1.91,1.98,1.99,2,1.87,1.92
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Fery A.,Popyrin A.,461,22,91,2140,6,4,6,1,4,6,6,4,,,3,1,Completed,4.33,1.22,4.45,1.24,4.5,1.28,4.02,1.24
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Harris L.,Bergs Z.,320,50,159,1079,7,6,7,6,6,7,6,2,,,3,1,Completed,2.5,1.5,2.56,1.56,2.82,1.56,2.65,1.47
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Jarry N.,Rune H.,143,8,418,3530,4,6,4,6,7,5,6,3,6,4,3,2,Completed,3.75,1.29,3.76,1.3,4,1.32,3.65,1.28
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Royer V.,Tsitsipas S.,113,26,513,1920,6,3,6,2,,,,,,,2,0,Retired,4,1.25,4.13,1.27,4.3,1.29,3.88,1.25
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Alcaraz C.,Fognini F.,2,138,9300,437,7,5,6,7,7,5,2,6,6,1,3,2,Completed,1.01,17,,,1.01,90,1.01,29.42
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Darderi L.,Safiullin R.,59,75,989,831,7,6,1,6,6,7,6,3,6,1,3,2,Completed,3,1.4,3.07,1.42,3.2,1.43,2.94,1.39
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Borges N.,Cerundolo F.,37,19,1400,2285,4,6,6,3,7,6,6,0,,,3,1,Completed,2.4,1.53,2.49,1.59,2.56,1.64,2.42,1.56
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Auger-Aliassime F.,Duckworth J.,28,103,1825,566,6,2,3,6,6,7,6,4,6,4,3,2,Completed,1.18,4.5,1.2,5.06,1.21,5.5,1.19,4.65
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Fonseca J.,Fearnley J.,54,51,1016,1060,6,4,6,1,7,6,,,,,3,0,Completed,1.5,2.63,1.49,2.79,1.53,2.86,1.47,2.67
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Quinn E.,Searle H.,89,421,682,106,4,6,6,2,7,6,6,2,,,3,1,Completed,1.44,2.8,1.47,2.85,1.48,2.94,1.44,2.75
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Harris B.,Lajovic D.,151,118,383,498,6,3,6,2,6,4,,,,,3,0,Completed,1.4,2.8,1.47,2.85,1.5,3,1.41,2.88
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Khachanov K.,McDonald M.,20,88,2240,689,7,5,6,4,6,4,,,,,3,0,Completed,1.22,4.33,1.21,4.91,1.25,4.91,1.22,4.22
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Garin C.,Rodesch C.,110,163,525,346,7,6,6,4,6,4,,,,,3,0,Completed,1.67,2.2,1.67,2.31,1.71,2.38,1.64,2.26
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Rublev A.,Djere L.,14,60,2920,961,6,0,7,6,6,7,7,6,,,3,1,Completed,1.22,4,1.26,4.28,1.29,4.3,1.24,4.03
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Struff J.L.,Misolic F.,125,111,475,518,6,2,5,7,6,3,6,3,,,3,1,Completed,1.67,2.25,1.65,2.36,1.68,2.4,1.62,2.28
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Majchrzak K.,Berrettini M.,109,35,527,1515,4,6,6,2,6,4,5,7,6,3,3,2,Completed,6,1.13,7.18,1.13,7.2,1.16,6.14,1.12
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Davidovich Fokina A.,Holt B.,27,99,1845,600,6,2,6,4,7,5,,,,,3,0,Completed,1.22,4.33,1.23,4.58,1.26,4.7,1.22,4.28
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Brooksby J.,Griekspoor T.,101,29,577,1755,6,2,7,5,6,3,,,,,3,0,Completed,2.75,1.4,2.7,1.52,2.85,1.53,2.75,1.44
36,London,Wimbledon,30/06/2025,Grand Slam,Outdoor,Grass,1st Round,5,Diallo G.,Altmaier D.,40,57,1322,998,6,1,6,2,6,4,,,,,3,0,Completed,1.2,4.5,1.2,5.2,1.23,5.3,1.19,4.61
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Vukic A.,Tseng C.H.,93,96,664,643,6,3,6,4,4,6,7,6,,,3,1,Completed,1.25,4,1.26,4.23,1.3,4.33,1.24,4.01
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Marozsan F.,McCabe J.,58,181,990,308,6,1,6,4,6,3,,,,,3,0,Completed,1.44,2.8,1.46,2.91,1.49,2.96,1.44,2.76
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Kecmanovic M.,Michelsen A.,49,32,1106,1670,6,2,3,6,6,3,3,6,7,6,3,2,Completed,2.8,1.44,2.84,1.48,3,1.48,2.75,1.44
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Sonego L.,Faria J.,47,116,1171,503,6,3,6,4,6,2,,,,,3,0,Completed,1.3,3.6,1.29,3.9,1.32,4,1.3,3.56
